no,AGB  (gDM m-2),sample length (m),row distance (m),crop height _1_spikes(m),crop height_2_topgrains(m),B1,B2,B3,B4,B5,Height
3,1396.62048,1.01,0.18,0.83,0.78,794.9105225,2449.777588,1735.470642,5773.953857,8942.493164,0.516628265
6,836.3104025,1.02,0.18,0.75,0.68,665.6393657,2028.800447,1568.670288,4650.551218,9386.214176,0.506401062
7,1093.521022,1,0.18,0.7,0.63,642.521247,1996.651968,1618.32189,4736.057708,9719.429181,0.420524597
9,1533.237057,1,0.18,0.8,0.75,789.4374593,2462.550618,1613.445658,5682.346029,9232.033203,0.39838028
14,1438.258535,1.02,0.18,0.84,0.79,606.6592916,1776.692098,1241.231079,3863.180827,9957.144857,1.222221375
17,825.2228682,1,0.15,0.95,0.86,902.642137,3008.865623,2115.19248,7452.564264,15917.48047,0.267883301
18,1409.658567,1,0.17,0.86,0.76,909.7264651,2886.05186,1926.266959,7160.087705,16002.69724,0.245346069
21,1299.525352,0.97,0.18,0.79,0.74,984.570381,3039.281375,2387.996537,6994.218619,15123.60068,0.768287659
22,1119.949238,1.01,0.18,0.82,0.76,819.7135606,2643.736072,2222.647223,6517.376453,14788.19617,0.818504333
23,1272.267041,1.05,0.18,0.8,0.74,1240.210098,3611.867458,2983.58826,7704.232316,17475.06012,1.299758911
24,1609.40115,0.99,0.17,0.86,0.81,1557.852905,4305.116202,3343.304631,8983.497052,19661.77013,1.342697144
25,1305.740351,1,0.18,0.85,0.79,1027.417543,3630.196313,2507.74622,7773.026115,14297.34589,0.586483002
26,818.8521522,1,0.18,0.87,0.8,1111.19459,3663.424927,2726.652568,8013.334757,13726.73714,0.598503113
27,1086.016987,1,0.19,0.64,0.56,927.4837151,2552.634148,2419.791302,5886.168213,12306.01245,0.230300903
28,1116.962172,1,0.175,0.66,0.48,908.2296204,2389.656506,2557.735913,5411.083643,11141.70322,0.240253448
29,910.8828825,1.01,0.21,0.78,0.75,978.8709624,3147.640573,2322.546886,6971.655998,14458.46064,0.397710164
