NA,Date,N (g/kg),Height,B1,B2,B3,B4,B5
1,20200618,50.2,0.588010661,798.515911,3085.66882,709.548196,6689.722497,25413.69125
2,20200618,45.9,0.685797797,831.7373931,3350.826371,750.4314126,7191.227492,25879.60635
3,20200618,37.2,0.407268323,785.5633441,3181.242321,714.9910725,6930.916149,24159.70415
4,20200618,36,0.527031581,850.4538878,3210.448297,772.0630761,6870.61101,24263.19772
5,20200618,39.2,0.367532094,856.8650771,3166.282972,889.8561384,6544.104149,21582.58421
6,20200618,56.1,0.598946708,772.4297642,2979.465373,771.1668452,6298.566661,23216.03514
7,20200618,49,0.681746049,752.0052001,2977.44809,732.6215502,6409.433653,23629.803
8,20200618,32.5,0.623807907,804.893869,3154.720858,743.4813347,6778.876293,23427.45849
9,20200618,59.2,0.764055525,804.2080116,2875.431172,703.9992404,6638.747122,26470.71093
10,20200618,50.1,0.719497232,864.8308027,2810.021734,745.9066136,6680.562254,26750.56915
11,20200618,53.4,0.586212158,924.8045672,2895.018684,814.843294,6888.497454,27053.28076
12,20200618,49.3,0.672127464,908.3359257,2947.895188,805.6315452,7048.523398,27562.27006
13,20200618,42.5,0.531235639,864.011402,3125.259086,765.1533416,7026.066487,25824.66538
14,20200618,58.7,0.723862784,905.9485857,3128.639237,756.5992664,6896.891093,27025.3789
15,20200618,49.1,0.666473897,777.153833,2937.673909,677.0838113,6358.730008,25567.76592
16,20200618,52,0.37191827,854.3070972,2253.420658,839.2056034,5455.812868,23432.88712
17,20200618,53.5,0.427258968,718.1933289,1960.776175,694.9509779,4676.408831,20802.04053
18,20200618,47.2,0.262234028,745.7253529,2168.033759,750.3511044,5262.502594,23322.98563
19,20200618,48.9,0.23684845,719.3021437,2127.253253,734.37049,5071.381731,21965.14872
20,20200618,43.3,0.232418354,865.4399698,2490.398207,1317.868442,5877.218185,23863.57157
21,20200618,44.5,0.197631836,920.0052714,2714.688967,1205.840923,6687.400184,26211.86043
22,20200618,36.6,0.308801015,823.0785403,2387.569802,885.4213629,6071.118788,24085.11591
23,20200618,54.4,0.430771964,685.1480249,1862.165444,683.3260541,4760.285081,21925.14681
24,20200618,41.1,0.121136983,1235.026673,3952.013164,1441.127981,8944.192717,23526.71105
25,20200618,45.7,0.24176671,1145.171148,3509.275913,1107.515325,8627.152384,27014.31485
26,20200618,43.5,0.214024014,1089.924212,3279.608722,1022.123815,7998.611131,28552.92069
27,20200618,43.9,0.193482619,1149.442746,3400.395467,1202.50115,8048.427967,27814.57882
28,20200618,48.4,0.419856678,857.3100026,2908.295803,739.4148415,6786.790021,25080.53215
29,20200618,46.3,0.368412018,909.1684584,2965.889233,780.5092497,6902.092463,26506.91763
30,20200618,40.4,0.263490295,916.5122925,2960.494734,898.4602978,7028.072659,22919.05956
