NA,Date,B1,B2,B3,B4,B5,NDVI,NDRE,CIGR,CIRE,MTCI,RDVI,Height,N (g/kg),Area (cm2),Area (m2),DW (g),DW (kg),N (gkg-1/m2),CP
1,20200618,603.5491349,2886.478793,615.3308005,7421.14569,26079.46385,0.953932347,0.557387635,8.087563399,2.536216421,2.768956662,155.8207211,0.588010661,50.2,133.733,0.0133733,0.5342,0.0005342,3753.748047,1
2,20200618,610.4225864,3072.313514,640.4499835,7692.94543,26202.66184,0.952329035,0.546227847,7.561642245,2.41935034,2.641502086,156.0057972,0.685797797,45.9,135.266,0.0135266,0.5157,0.0005157,3393.313965,1
3,20200618,666.6976696,3250.807715,720.4165215,8551.231695,24613.358,0.942930496,0.48425685,6.623654675,1.904660137,2.085292212,149.9997934,0.407268323,37.2,97.76,0.009776,0.4331,0.0004331,3805.237305,1
4,20200618,642.9685516,3078.476515,683.8964901,7912.323338,24794.43729,0.946099635,0.516283585,7.138256993,2.158995611,2.366424923,150.9561894,0.527031581,36,101.982,0.0101982,0.4483,0.0004483,3530.034668,1
5,20200618,703.7895441,3370.867878,795.4361369,8531.404814,22718.22221,0.932317631,0.454892015,5.864216093,1.696618926,1.875105168,142.9212684,0.367532094,39.2,93.508,0.0093508,0.3839,0.0003839,4192.154785,1
6,20200618,615.6207244,2863.520631,686.0445427,6829.572011,24122.68278,0.94467139,0.558719125,7.440435332,2.54211321,2.828303276,148.7778756,0.598946708,56.1,165.051,0.0165051,0.6413,0.0006413,3398.949463,1
7,20200618,609.1773896,2975.683981,669.922958,6832.169144,24369.57258,0.946448929,0.562077705,7.200188467,2.578028603,2.861051037,149.7449579,0.681746049,49,140.185,0.0140185,0.5403,0.0005403,3495.381104,1
8,20200618,640.7644133,3105.653914,672.4351808,7218.112511,24032.31598,0.945523412,0.538128326,6.754901016,2.338744602,2.581235636,148.5959509,0.623807907,32.5,110.621,0.0110621,0.4354,0.0004354,2937.959229,1
9,20200618,660.2647607,2782.933281,641.7711036,7563.123403,28843.0971,0.956518244,0.584528246,9.378228792,2.816060674,3.077699547,164.2266341,0.764055525,59.2,162.986,0.0162986,0.5648,0.0005648,3632.213867,2
10,20200618,730.0617191,2775.163054,710.1799005,7448.800994,28954.63481,0.952151214,0.59079977,9.447151427,2.892021413,3.198490109,163.9755449,0.719497232,50.1,175.89,0.017589,0.6843,0.0006843,2848.371094,2
11,20200618,787.9596952,2966.487602,790.2516887,7871.660645,29510.70892,0.947860718,0.579000374,8.961943251,2.758496997,3.068741223,164.9799831,0.586212158,53.4,141.736,0.0141736,0.5213,0.0005213,3767.567871,2
12,20200618,764.9141493,2942.965384,764.9757968,7927.8068,29395.03283,0.949279165,0.575229834,8.998763193,2.717223483,3.010397264,164.8274315,0.672127464,49.3,156.168,0.0156168,0.5927,0.0005927,3156.856689,2
13,20200618,673.3091439,3014.441981,715.9323288,7777.433107,27022.91386,0.948404442,0.553380488,7.989378375,2.486945289,2.741826948,157.9118252,0.531235639,42.5,147.833,0.0147833,0.574,0.000574,2874.865479,2
14,20200618,690.7593441,2961.633149,683.29876,8021.560627,28650.45462,0.953461158,0.56237045,8.700901791,2.578414486,2.820409488,163.2491035,0.723862784,58.7,163.848,0.0163848,0.5821,0.0005821,3582.588623,2
15,20200618,637.4337132,2743.842602,609.2689062,7359.357161,27370.45911,0.956435327,0.576826358,9.006699977,2.740935537,2.99318654,159.9211273,0.666473897,49.1,126.538,0.0126538,0.4478,0.0004478,3880.257324,2
16,20200618,837.0520735,2741.756262,896.5146678,7972.828843,31271.61679,0.944201077,0.59324435,10.44497051,2.95297896,3.337982563,169.220898,0.37191827,52,114.309,0.0114309,0.4594,0.0004594,4549.073242,3
17,20200618,822.2522358,2786.270192,854.1856882,7934.707065,33925.4164,0.950859804,0.620623644,11.21629727,3.287696973,3.68697359,177.2866757,0.427258968,53.5,144.028,0.0144028,0.5446,0.0005446,3714.55542,3
18,20200618,706.6635573,2560.072432,763.8136817,7447.345354,30095.01668,0.950392429,0.602543903,10.83689215,3.055730413,3.407674401,166.8101417,0.262234028,47.2,128.506,0.0128506,0.5308,0.0005308,3672.980225,3
19,20200618,724.7773079,2658.672751,768.9916409,7886.582575,31344.82348,0.951938208,0.597214413,10.84857726,2.986952042,3.311355345,170.5229649,0.23684845,48.9,98.369,0.0098369,0.426,0.000426,4971.078125,3
20,20200618,761.1374707,2812.474669,1191.950135,8326.869126,29950.14352,0.923143732,0.564891197,9.860953421,2.625201063,3.068696448,162.8717791,0.232418354,43.3,111.147,0.0111147,0.4854,0.0004854,3895.741699,3
21,20200618,738.3760944,2804.218472,1032.16243,8944.932975,27426.26358,0.927242204,0.508825628,8.936063464,2.087585221,2.365492709,156.3615581,0.197631836,44.5,141.746,0.0141746,0.5479,0.0005479,3139.418457,3
